Face,Level,Treasure,Symb,LensPrefix,LensName,MEreason,MEquestion,WEreason,WEquestion
1H,Departure,Reflection,A? ,The Lens of,You,"Because it is important to know who you are, ask yourself:",Who am I?,"The word ""you"" can refer to one person or many. Use these lenses with all groups of people, whether a couple, family, business, community, classroom, club, or any other collection. The lenses are the same although the wording might change. We ask ourselves:",Who are we? What defines us?
1C,Departure,Closeness ,A?,The Lens of,People,"So that you can keep your relationships in perspective, ask yourself:",Who is important to me?,"Although we are important to each other, other people count too. We ask ourselves:",Who is important to us collectively?
1D,Departure,Curiosity,A?,The Lens of the,World,"Because you cannot function effectively without knowing how the world works, ask yourself:",What do I need to know?,"Because none of us function effectively if we don't understand our place in the grand scheme of things, we ask ourselves:",How do we fit together and where do we fit in?
1S,Departure,Interest ,A?,The Lens of,Work,"So that you will spend your time wisely, ask yourself:",What do I want to do?,"Because people cannot work at cross purposes and get much done, we ask ourselves:",What do we want to do together? What is best done apart?
2H,Foundation,Blessings,2?,The Lens of,Gratitude,"So that you can get in the habit of counting your blessings and thanking those who have been good to you, ask yourself:",What am I grateful for? Whom do I thank? How do I thank them?,Everything deserves our gratitude because otherwise we might take things for granted. We ask ourselves:,How do we thank the world for being there for us?
2C,Foundation,Exchange ,2?,The Lens of,Fairness,"Because fairness is a human invention, not a natural phenomenon, ask yourself:",What does fairness mean to me? When is it OK to be unfair?,"Because everyone deserves fair treatment, we ask ourselves: ",Do we treat some people more fairly than others?
2D,Foundation,Sustenance,2?,The Lens of,Wealth,Wealth is the measure of the extent to which you have what you want. Ask yourself:,Where do the things I want come from? How will I consume wisely?,"Because other people have things we want, we ask ourselves:",What will we give others so we get what we want?
2S,Foundation,Fire,2?,The Lens of,Motivation,"Because you will do better work if you know why you want to do it, ask yourself:",What will I do only if I am rewarded? What will I do for its own sake?,"Even when our work requires solitary effort, it is hard to concentrate if we feel lonely. We ask ourselves:",How will we keep each other motivated?
3H,Core,Empowerment,3?,The Lens of the,Boss,"Because it is important to know who will bear ultimate responsibility for your life, ask yourself:",Who is the boss of me? Who do I want as boss? Who am I living my life for?,"Even if some of us have more power than others, we all need to care about each other. We ask ourselves:",Do we have each other's backs?
3C,Core,Comrades,3?,The Lens of,Family,"Rather than think of family in terms of blood relationships, consider it in terms of motivation to help. Ask yourself:",Who would help me even though they don't like me? Who would I help even though I don't like them?,It is important to know what kind of group we are. We ask ourselves:,Do we think of ourselves as family?
3D,Core,Harmon3,3?,The Lens of,Nature,"Because we all share the same planet, ask yourself:",What is my relationship with nature?,"Because we must think of those who will be born after we die, we ask ourselves:",Are we doing our part to leave a healthy planet after we are gone?
3S,Core,Focus,3?,The Lens of,Hierarchy,"Rather than think in terms of power relationships, think about what is important. Ask yourself:",Whose interests come before mine? Whose interests come after mine?,"It is natural to put ""us"" before ""them"" but that isn't always wise. We ask ourselves:",When are we more important than other people? When are they more important?
4H,Sense,Dreams,4?,The Lens of,Experiences,Consider your life in terms of experience rather than accomplishment. Ask yourself:,What experiences do I want to have? What is essential to those experiences?,"Whatever the nature of our relationships, we create experiences. We ask ourselves:",What experiences do we create for ourselves and for others?
4C,Sense,Allies,4?,The Lens of,Friendship,"Rather than think of friendships in terms of declared allegiances, consider them in terms of motivation to help. Ask yourself:",Who would help me because they like me? Who would I help because I like them?,It is important to think about how we relate to each other. We ask ourselves:,Do we think of ourselves as friends?
4D,Sense,Stance,4?,The Lens of,Attitude,"Because you need to approach things with the right frame of mind, ask yourself:",What is my attitude with respect to: problems? learning? change? risk?,"Because cooperation requires us to be reliable, we ask ourselves:",Who do we trust? Why? Who do we distrust? Why?
4S,Sense,Production,4?,The Lens of the,Product,"Because one goal of work is to produce something of value, ask yourself:",What am I producing? What needs do I fill? How? For whom? Why?,"We have needs, but so do others. We ask ourselves:",What are we producing for each other? What are we producing for others?
5H,Support,Ideals,5?,The Lens of,Values,You need to know what is important to you. Ask yourself:,What do I value? Why?,"Because shared values are as important as shared interests and motivations, we ask ourselves:",What values do we share? What differences do we tolerate in ourselves and others?
5C,Support,Belonging,5?,The Lens of,Community,"Rather than think of community in terms of geography or common interest, consider it in terms of motivation to help. Ask yourself:",Who would help me even though they don't know me? Who would I help even though I don't know them?,Rituals help define community. We ask ourselves:,What are our rules and traditions?
5D,Support,Service,5?,The Lens of,Needs,We survive and thrive by meeting each other's needs. Ask yourself:,What do I need? What is needed of me?,People feel good about themselves by being of use to others.,We ask ourselves: How do we encourage others to express their needs to us?
5S,Support,Compounding,5?,The Lens of,Return on Investment,Society and many individuals have made a direct and indirect investment in you. Ask yourself:,How will I pay back the investment made in me? How will I pay it forward?,"Because people rise to meet expectations, we ask ourselves:",Do we make it clear what we expect of each other?
6H,Relationships,Habit,6?,The Lens of,Character,"Because character becomes destiny, ask yourself:",In what ways does my character need to be improved? What am I doing to develop better habits?,People can inspire each other to be good or pressure each other to be bad. We ask ourselves:,Are we being civilized?
6C,Relationships,Perception,6?,The Lens of,Judgment,"Although people do not like to be judged, sometimes it must be done. Ask yourself:",When must I judge others? When must I reserve judgment? How will I ensure fairness?,Nobody likes being treated unfairly. We ask ourselves:,How will we balance liberty and justice?
6D,Relationships,Organization,6?,The Lens of,Followership,"Because followers have responsibilities, ask yourself:",Have I chosen my leaders wisely? Am I blaming leaders for things that could be my responsibility?,"Because we all have rights, we ask ourselves:",Do we tolerate dissent? What are the limits to our loyalty?
6S,Relationships,Command,6?,The Lens of,Leadership,"Because leaders have responsibilities, ask yourself:",Why do I want to lead? Am I acting in the best interests of those who follow?,"Because others do as we do, not as we say, we ask ourselves:",Are we setting a good example for others?
7H,Choice,Morality,7?,The Lens of,Good vs. Nice,"Because the opposite of Good is Evil, and the opposite of Nice is Unlikable, ask yourself:",Do I choose to be Good knowing that in order to avoid being Evil I might have to do things people will not like?,If we only listen to each other we can fail to see the truth. We ask ourselves:,Are we blind to our true nature?
7C,Choice,Conscience,7?,The Lens of,War vs. Peace,"Because large groups of people can find themselves caught up in massive endeavors, ask yourself:",How will I be Good when everyone else is Evil?,"Before we use force to settle disagreements, we ask ourselves:",What makes us so sure we are right?
7D,Choice,Agency,7?,The Lens of,Knowing vs. Doing,"Because it is action that counts, ask yourself:",When will I know enough to act?  What am I doing now that could benefit from a better understanding?,Engagement style matters. We ask ourselves:,Are we proactive or reactive?
7S,Choice,Gratification,7?,The Lens of,Now vs. Later,"Because more often than not good things come to those who wait, ask yourself:",What rewards can I put off until later so I can concentrate on doing my best work now?,If we want the future to be better than the past then we must make sacrifices. We ask ourselves:,How will we reward taking a long-term view?
8H,Energy,Fitness,8?,The Lens of,Health,"Because you must be healthy to live well, ask yourself:","Am I physically, mentally, and spiritually healthy? What do I need to improve?",If we care about each other we can figure out the rest and if we don't care then it doesn't matter. We ask ourselves:,Do we take care of each other? How?
8C,Energy,Puzzle Pieces,8?,The Lens of the,Common Good,"Because we are all in it together, ask yourself:",How can I make the world a better place?,"Although it is natural to focus on what we care about the most, we must still ask ourselves:",Are we being good citizens?
